Market pair,Price,Spread,Change,Volume,Trades,24h,7d,24h,7d,24h,Total
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBCSO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,0.0014 MORTG/CSO,,(2.9%),(74.7%),640.25K CSO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,27.99M CSO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,6,822
Solend-GCHV7AGUDB2CXYPHJXT6M5PETEMNMYJIYZ3IIGMJAXBTTBHTMK7EZF36MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,13.433 Solend/MORTG,,(0%),(17%),359 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,359 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,6,6
AUDC-GBA7EDTB74IYIYOTELYKUC7Y7VXCNVVO72RX4XAXONFLZGYM5HAIXG7UMORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,0.0591 AUDC/MORTG,,(0.4%),(4669.7%),251 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,67.74K MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,2,29
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBLVMREIT-GBBT7SR6TODAKWJDG3NJEARPRQEDKO6AAR35Q36YQZP6367FQASLLW3F,0.0206 MORTG/LVMREIT,,(3.3%),(57.6%),17.14K LVMREIT-GBBT7SR6TODAKWJDG3NJEARPRQEDKO6AAR35Q36YQZP6367FQASLLW3F,1.27M LVMREIT-GBBT7SR6TODAKWJDG3NJEARPRQEDKO6AAR35Q36YQZP6367FQASLLW3F,5,676
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBSCRO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,0.3209 MORTG/SCRO,,(1.7%),(69.2%),1.71K SCRO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,27.09K SCRO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66J,8,320
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBNZD-GBLE6H2IKCODVVH44ACMB6IK4EA5JTH6WBJ2N3S4XEXG734QBCX364R6,2474.474 MORTG/NZD,,(15.1%),(9.1%),0.035 NZD-GBLE6H2IKCODVVH44ACMB6IK4EA5JTH6WBJ2N3S4XEXG734QBCX364R6,0.19 NZD-GBLE6H2IKCODVVH44ACMB6IK4EA5JTH6WBJ2N3S4XEXG734QBCX364R6,1,16
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBLAMREIT-GARSKD4HDNNCLORTLCMAWMGXZ4WOLG44SUOGHCSD7JTOSCKLIPTKTIWV,0.0392 MORTG/LAMREIT,,(20.7%),(63.7%),2.03K LAMREIT-GARSKD4HDNNCLORTLCMAWMGXZ4WOLG44SUOGHCSD7JTOSCKLIPTKTIWV,103.88K LAMREIT-GARSKD4HDNNCLORTLCMAWMGXZ4WOLG44SUOGHCSD7JTOSCKLIPTKTIWV,3,849
NLT-GAX25ZVO4JVPEDK3R7EUFCGVI5XCOQGMVGQNZVFLGY2RWTBIQBW2ZNLTMORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,0.6669 NLT/MORTG,,(0.1%),(82.3%),62.8 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,16.29K MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,5,134
STCROIXmREIT-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBMORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,179.052 STCROIXmREIT/MORTG,,(41.3%),(132.7%),37.8 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,842 MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RB,3,145
MORTG-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBEUROBOND-GAO4FVMM3JXHV3LJ6BAKQTFVD37UISXIHOMASLUHKXKQXPRT7MGMWZLT,7.231 MORTG/EUROBOND,,(0%),(0%),1.547 EUROBOND-GAO4FVMM3JXHV3LJ6BAKQTFVD37UISXIHOMASLUHKXKQXPRT7MGMWZLT,1.547 EUROBOND-GAO4FVMM3JXHV3LJ6BAKQTFVD37UISXIHOMASLUHKXKQXPRT7MGMWZLT,1,1
